User,User Category,Zone,Medicine Name,Category,Stock,Restock Frequency,Supplier Reliability,disease_score_1,disease_score_2,disease_score_3,corr_disease_1,corr_disease_2,corr_disease_3
User_1,Hospital,Jakarta Selatan,Paracetamol,Painkiller,252,24,0.7399939114398212,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011
User_1,Hospital,Jakarta Selatan,Ibuprofen,Painkiller,396,13,0.7602447672811338,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011
User_1,Hospital,Jakarta Selatan,Aspirin,Painkiller,445,18,0.7140170952817992,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011
User_1,Hospital,Jakarta Selatan,Naproxen,Painkiller,261,24,0.7486303560381379,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011
User_1,Hospital,Jakarta Selatan,Ketoprofen,Painkiller,110,17,0.992508217922541,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011
User_1,Hospital,Jakarta Selatan,Amoxicillin,Antibiotic,62,28,0.9540955169610597,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018
User_1,Hospital,Jakarta Selatan,Azithromycin,Antibiotic,214,12,0.8988473392118285,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018
User_1,Hospital,Jakarta Selatan,Ciprofloxacin,Antibiotic,434,28,0.8000369569804622,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018
User_1,Hospital,Jakarta Selatan,Doxycycline,Antibiotic,329,14,0.7096922099622404,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018
User_1,Hospital,Jakarta Selatan,Clindamycin,Antibiotic,228,28,0.85577012183692,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018
User_1,Hospital,Jakarta Selatan,Oseltamivir,Antiviral,346,26,0.7343845317615253,0.3614765100671141,0.4662013422818792,0.26520805369127515,D010,D008,D009
User_1,Hospital,Jakarta Selatan,Acyclovir,Antiviral,229,10,0.9469552245968831,0.3614765100671141,0.4662013422818792,0.26520805369127515,D010,D008,D009
User_1,Hospital,Jakarta Selatan,Remdesivir,Antiviral,283,18,0.9219689112266172,0.3614765100671141,0.4662013422818792,0.26520805369127515,D010,D008,D009
User_1,Hospital,Jakarta Selatan,Favipiravir,Antiviral,366,15,0.8061059814394549,0.3614765100671141,0.4662013422818792,0.26520805369127515,D010,D008,D009
User_1,Hospital,Jakarta Selatan,Zanamivir,Antiviral,362,14,0.7508622154057817,0.3614765100671141,0.4662013422818792,0.26520805369127515,D010,D008,D009
User_1,Hospital,Jakarta Selatan,Metformin,Diabetes,125,26,0.9963343361241362,0.4933154362416107,0.8679463087248322,0.2967248322147651,D002,D016,D003
User_1,Hospital,Jakarta Selatan,Insulin,Diabetes,251,13,0.870282215562493,0.4933154362416107,0.8679463087248322,0.2967248322147651,D002,D016,D003
User_1,Hospital,Jakarta Selatan,Glipizide,Diabetes,457,27,0.9932907044512633,0.4933154362416107,0.8679463087248322,0.2967248322147651,D002,D016,D003
